Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
99669,006427,159 BEVERAGE GLASS 12.5OZ 48CSHEAVY BASE -,N/A,O Non Stock Inactive,159,06/06/2024,1,SUPREME HOTEL & RESTAURANT SUPPLY,06/07/2024,Eleni Davis,86.15,86.15
99674,010006,3# KRAFT SO BAGS 500/BDL18403,N/A,N Stock Active,18403,09/23/2024,76,2780 DURO HILEX POLY LLC,08/30/2024,Erin Ventola,8.75,665.00
99675,010016,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,N/A,N Stock Active,80076,09/25/2024,288,2780 DURO HILEX POLY LLC,09/25/2024,Erin Ventola,33.4,9619.20
88071,010017,1/6 40/40 TWIN SACK KRAFT 400/DW40NP4CES 80091,N/A,N Stock Active,80091,09/24/2024,12,2780 DURO HILEX POLY LLC,08/30/2024,Erin Ventola,53.84,646.08
80572,010019,1/6 KRAFT HANDLE SACK 300/BDL,N/A,N Stock Active,88885,09/24/2024,292,2780 DURO HILEX POLY LLC,09/25/2024,Erin Ventola,39.08,11411.36
80573,010021,1/8 57# KRAFT HEAVY SACK 500SS57NP5C  9.75x6x16,N/A,N Stock Active,115755700,09/18/2024,8,669 ROSENBLOOM GROUPE INC.,09/12/2024,Karen Groves,28.46,227.68
80175,010024,1/4 BARREL KRAFT 60# SATCHEL BOTT250/BDL             71410,N/A,O Non Stock Inactive,71410,N/A,9,2780 DURO HILEX POLY LLC,N/A,Erin Ventola,52.17,469.53
80574,010025,1/6 75# KRAFT SACK 400/BDL80080  HEAVY SACK,N/A,N Stock Active,80080,09/25/2024,67,2780 DURO HILEX POLY LLC,09/25/2024,Erin Ventola,38.67,2590.89
80576,010037,20# KRAFT SQUAT BAG 500/BDL18421  8-1/8X6X14-1/16,N/A,N Stock Active,18421,09/25/2024,92,2780 DURO HILEX POLY LLC,09/25/2024,Erin Ventola,18.97,1745.24
80178,010040,4MG WHITE SILVERWARE BAG 2M/CS2.75"X10",N/A,N Stock Active,4MG,09/24/2024,181,3266 FISCHER PAPER PRODUCTS  INC.,09/19/2024,Suyeon Nam,19.12,3460.72
126659,010054,6# WHT BAGS 4/500/BLD 6X3-5/8X11 WB06NP2M  80027,N/A,O Non Stock Inactive,80027,N/A,1,2780 DURO HILEX POLY LLC,N/A,Erin Ventola,10.04,10.04
80181,010061,20# WHITE BAG TALL 500/BDL51040   8-1/4X5-1/4X16-1/4,N/A,N Stock Active,1002000W00,09/24/2024,68,669 ROSENBLOOM GROUPE INC.,08/14/2024,Karen Groves,23.89,1624.52
80185,010068,2# White Bags 500/BD 4-5/16x2-7/16x7-7/8  51002,N/A,N Stock Active,51002,09/17/2024,23,2780 DURO HILEX POLY LLC,08/05/2024,Erin Ventola,6.61,152.03
80187,010074,8# HEAVY DUTY KRAFT BAGS 400/B71008,N/A,N Stock Active,71008,09/24/2024,18,2780 DURO HILEX POLY LLC,09/25/2024,Erin Ventola,15.76,283.68
88074,010087,20X10X28 Clear Party Tray Bag 250/CS,N/A,N Stock Active,F20PT,09/09/2024,14,REVOLUTION CONSUMER SOLUTIONS,08/09/2024,Erin Ventola,43.2,604.80
88077,010094,094 TO GO WINDOW DELI BAG500/CS NATURAL 5.75X2.75X9.5,N/A,O Non Stock Inactive,300094,09/23/2024,5,BAGCRAFT,08/09/2024,Suyeon Nam,109.1,545.50
118929,010119,12x10x12 BROWN SHOPPER 1212UNK 250/CS,N/A,N Stock Active,1212UNK,09/24/2024,11,5670 KAL PAC CORP.,08/28/2024,Erin Ventola,69,759.00
80580,010124,22.5X7X30 BROWN BAG 40# 125/CS14966 LAMPSHADE,N/A,O Non Stock Inactive,14966,N/A,1,2780 DURO HILEX POLY LLC,N/A,Erin Ventola,46.13,46.13
80584,010140,16# KRAFT SO BAGS 500/CS7-5/8x4-7/8x16 18416 GB16NP5C,N/A,N Stock Active,18416,09/24/2024,69,2780 DURO HILEX POLY LLC,08/30/2024,Erin Ventola,17.53,1209.57
80585,010141,25# KRAFT SO BAGS  500/CS18424,N/A,N Stock Active,18424,09/23/2024,37,2780 DURO HILEX POLY LLC,08/05/2024,Erin Ventola,21.66,801.42
80588,010144,12# WHT BAG 500/CS,N/A,N Stock Active,1001200W00,09/25/2024,327,669 ROSENBLOOM GROUPE INC.,09/12/2024,Karen Groves,18.57,6072.39
108282,010149,5# KRFT SOS BAGS   500/BD 5-1/4x3-7/16x10-15/16 18405,N/A,N Stock Active,18405,09/25/2024,74,2780 DURO HILEX POLY LLC,08/30/2024,Erin Ventola,10.61,785.14
