Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
84546,511355,6101756 CLEARLY SOFT PLUS 2/6#AQUANOMIC 2.0  LAUNDRY,N/A,N Stock Active,6101756,N/A,2,2830 ECOLAB INC.,N/A,Noel Marucut,137.06,274.12
126874,511374,5316 MOP HEAD #16 NB  12/CS *SPEC O*,N/A,O Non Stock Inactive,5316,N/A,12,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,1.93,23.16
126875,511487,14" BLUE CLEANING PAD 5/CS BCP14,N/A,N Stock Active,BCP14,N/A,2,11834 ACS CLEANING PRODUCTS GROUP,N/A,Noel Marucut,7.54,15.08
122248,511526,BT50 BLUE HUCK TOWEL 8/50CT,N/A,N Stock Active,BT50,N/A,6,46 MONARCH BRANDS,N/A,Noel Marucut,140,840.00
126876,511541,20" NATURAL LIGHT PAD UHS 5/CS NL20,N/A,N Stock Active,NL20,04/18/2024,22,11834 ACS CLEANING PRODUCTS GROUP,04/23/2024,Noel Marucut,12.71,279.62
100349,511704,32122 CLOROX SPORE DEFENSE 4CS128OZ HEALTHCARE,N/A,O Non Stock Inactive,CLO32122CT,N/A,3,S.P. RICHARDS COMPANY,N/A,Noel Marucut,86.52,259.56
84596,511725,680073 ODOR ELIMINATOR 12/32OZFABRIC & AIR  RTU,N/A,O Non Stock Inactive,680073,03/26/2024,3,SC JOHNSON PROFESSIONAL,N/A,Noel Marucut,80.88,242.64
101409,511820,9118-DSLV FLOOR STAND/DISPNSERPURELL HAND S WIPES,N/A,O Non Stock Inactive,9118-DSLV,N/A,2,GOJO INDUSTRIES INC.,N/A,Noel Marucut,163.79,327.58
122849,511858,6574-02 PURELL HEALTHY SOAP 2/CS CS6 MILD FOAM,N/A,O Non Stock Inactive,6574-02,N/A,4,GOJO INDUSTRIES INC.,N/A,Noel Marucut,36.84,147.36
121861,511908,5215-02 FMX-20 PURELL SOAP 2CS 2000ML HEALTHY FOAM SOAP,N/A,O Non Stock Inactive,5215-02,N/A,17,GOJO INDUSTRIES INC.,N/A,Noel Marucut,40.94,695.98
126878,512165,HG-3 RINSE ADDITIVE 4/1GAL,N/A,N Stock Active,0,N/A,8,11158 SPECTRUM SERVICES,N/A,Noel Marucut,63.12,504.96
84680,513117,6101054 BATHROOM CLNR 66HD2/1.3L ALKALINE FACILIPRO,N/A,N Stock Active,6101054,N/A,9,2830 ECOLAB INC.,N/A,Noel Marucut,42.07,378.63
84710,513291,6101848 TS LAUNDRY DET PLUS2.5GAL DETERGENT,N/A,N Stock Active,6101848,N/A,5,2830 ECOLAB INC.,N/A,Noel Marucut,169.65,848.25
84782,513538,6100606 APEX CHLORFREE 4/6.75#MACHINE DETERGENT,N/A,O Non Stock Inactive,6100606,N/A,1,2830 ECOLAB INC.,N/A,Noel Marucut,149.97,149.97
89291,517075,LAP16 16" LAMBSKIN REFILL PAD12/CS,N/A,O Non Stock Inactive,LAP16,N/A,12,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,7.41,88.92
109924,518042,FINISH PAD   12/CS S/O,N/A,O Non Stock Inactive,4972122,N/A,1,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,13.62,13.62
89314,518045,LF328A CHARGING BUCKET5.25GAL BLUE F/MICROFIBER,N/A,O Non Stock Inactive,LF328A,N/A,1,4190 HOSPECO,N/A,Noel Marucut,33.88,33.88
130481,518072,LWGS18 18" FLAT MOP GRN 12/PK MICROFIBER WET MOP S/O,N/A,O Non Stock Inactive,LWGS18,N/A,12,4190 HOSPECO,N/A,Noel Marucut,2.4,28.80
126890,519853,3M 19" BLACK PAD 7300 5/CS 08277-1 HIGH PROD  S/O,N/A,O Non Stock Inactive,61500014883,N/A,2,11515 3M,N/A,Noel Marucut,53.22,106.44
101436,530167,8520-01 CXI DISPENSER 1/CSTOUCH FREE COUNTER MOUNT,N/A,O Non Stock Inactive,8520-01,N/A,1,GOJO INDUSTRIES INC.,N/A,Noel Marucut,27,27.00
108290,530306,92211098 SPRAY BOTTLE MULTI-PURPOSE & GLASS,N/A,O Non Stock Inactive,92211098,N/A,40,5700 KAY CHEMICAL COMPANY,N/A,Noel Marucut,2.59,103.60
108291,530307,92211609 SPRAY BOTTLE SANISAVE SANITIZER  S/O,N/A,N Stock Active,92211609,N/A,378,5700 KAY CHEMICAL COMPANY,N/A,Noel Marucut,4.14,1564.92
101512,530343,CHESAPEAKE METALLIC/WHT DISP1/CS TOUCHFREE CB6,N/A,O Non Stock Inactive,6632-01-J72MTOR,N/A,78,GOJO INDUSTRIES INC.,N/A,Noel Marucut,10,780.00
119143,530383,8565-04-N6300GN CX GOJO SOAP 4/1500ML GREEN CERT FOAM,N/A,N Stock Active,8565-04-N6300GN,N/A,4,GOJO INDUSTRIES INC.,N/A,Noel Marucut,73.23,292.92
122875,530399,CHESAPEAKE METALLIC/WHT DISP 1/CS TOUCHFREE CB8,N/A,N Stock Active,7632-01-J72MTOR,N/A,54,GOJO INDUSTRIES INC.,N/A,Noel Marucut,12.5,675.00
110495,543139,D1222660 SPRAY BOTTLES 12/32OZ ALPHA HP,N/A,N Stock Active,D1222660,N/A,9,10781 DIVERSEY INC,N/A,Noel Marucut,23.02,207.18
110497,543141,D95007826 SPRAY BOTTLES 12/32O PAN CLEAN,N/A,O Non Stock Inactive,D95007826,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,24.32,24.32
85146,544271,904271 STENCH/STAIN DIGESTER6/32OZ  F/URINE VOMMIT,N/A,O Non Stock Inactive,904271,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,103.2,103.20
85163,544415,4995480 SHINE UP RTU 12/32OZLIQUID LEMON POLISH,N/A,O Non Stock Inactive,4995480,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,49,49.00
119114,544511,100905391 CLAX MAGIC PROTEIN 6/32OZ LAUNDRY,N/A,O Non Stock Inactive,100905391,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,98.69,98.69
122631,544512,100905392 CLAX MAGIC WHITE 6/32OZ SPOTTER LAUNDRY,N/A,O Non Stock Inactive,100905392,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,80.06,80.06
85170,544575,95325322 CREW FOAM/ACID CLNR12/32OZ,N/A,O Non Stock Inactive,95325322,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,41.84,41.84
125655,544810,904809 GOOD SENSE FRESH SCENT 12EA/CS,N/A,O Non Stock Inactive,904809,N/A,4,10781 DIVERSEY INC,N/A,Noel Marucut,80.8,323.20
89646,551993,1993 CLOSET ORGANIZER GRAY EA4EA/CS 34",N/A,O Non Stock Inactive,FG199300GRAY,N/A,1,NEWELL BRANDS DISTRIBUTION LLC,N/A,Noel Marucut,53.26,53.26
126910,554403,4403 BLK PLATFORM TRUCK 24X36 HVY DUTY S/O,N/A,O Non Stock Inactive,FG440300BLA,N/A,1,NEWELL BRANDS DISTRIBUTION LLC,N/A,Noel Marucut,508.4,508.40
129144,556361,6361 60" THREADED HANDLE WOOD 12EA/CS 1 15/16"  S/O,N/A,O Non Stock Inactive,FG636100LAC,03/07/2024,24,NEWELL BRANDS DISTRIBUTION LLC,03/12/2024,Noel Marucut,2.76,66.24
