Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
100512,080402,9916 16" Black FLAT TRAY 36/CS,N/A,N Stock Active,9916,04/12/2024,6,10650 SABERT CORPORATION,05/09/2024,Karen Groves,65.01,390.06
100579,088222,12018T300 18oz Clear BOWL 300/CS,N/A,O Non Stock Inactive,12018T300,N/A,1,10650 SABERT CORPORATION,N/A,Karen Groves,35.11,35.11
100592,088243,51900B150 FLAT LGE LID 150/CS,N/A,N Stock Active,51900B150,N/A,52,10650 SABERT CORPORATION,N/A,Karen Groves,41.94,2180.88
100658,088368,51402TR1000 TAMPER RESIST LID1M/CS,N/A,N Stock Active,51402TR1000,N/A,1,10650 SABERT CORPORATION,N/A,Karen Groves,144.37,144.37
126697,088431,530805F300N 8X4 RECT LID 300/,N/A,O Non Stock Inactive,530805F300N,N/A,1,10650 SABERT CORPORATION,N/A,Karen Groves,91.2,91.20
100483,088497,C76100040N25 10" 4-COMP ROUNDPLATTER WITH DOME LID 25/CS,N/A,O Non Stock Inactive,C76100040N25,N/A,2,10650 SABERT CORPORATION,N/A,Karen Groves,65.57,131.14
100731,088512,711506Z180 Black RECT CONTAINER6.5X15 180/CS,N/A,O Non Stock Inactive,711506Z180,02/22/2024,10,10650 SABERT CORPORATION,03/15/2024,Karen Groves,57.69,576.90
100732,088513,511506Z180 Clear LID F/RECT CONT6.5X15 180/CS,N/A,O Non Stock Inactive,511506Z180,02/22/2024,10,10650 SABERT CORPORATION,03/15/2024,Karen Groves,57.11,571.10
123715,089160,9308PP 8X11 RECT BLK CATER TRAY 72/CS,N/A,O Non Stock Inactive,9308PP,N/A,1,10650 SABERT CORPORATION,N/A,Karen Groves,51.66,51.66
133224,1154870,48632D150ULT 28oz Pulp Rectangular Container 150/cs,N/A,N Stock Active,48632D150ULT,N/A,24,10650 SABERT CORPORATION,06/21/2024,Karen Groves,23.92,574.08
105615,151420,55321 KRAFT RECT CLAMSHELL7 75x3.25  420/CS  **SO**,N/A,N Stock Active,55321,N/A,4,10650 SABERT CORPORATION,03/13/2024,Karen Groves,97.42,389.68
129758,151422,55621 KRAFT JUMBO SQ CLAMSHELL 9x9x3 200/CS,N/A,N Stock Active,55621,N/A,8,10650 SABERT CORPORATION,03/22/2024,Karen Groves,73.74,589.92
123717,352009,55621 8" KRAFT PIZZA CARTON 200/CS,N/A,O Non Stock Inactive,55621,N/A,2,10650 SABERT CORPORATION,N/A,Karen Groves,73.74,147.48
100777,908035,900606D300 5x5 SQ Black TRAY300/CS,N/A,O Non Stock Inactive,900606D300,N/A,8,10650 SABERT CORPORATION,N/A,Karen Groves,80.84,646.72
100796,985380,9619 LARGE CATERING BOX 15/CS17.75X12.25X4.5,N/A,O Non Stock Inactive,9619,N/A,5,10650 SABERT CORPORATION,N/A,Karen Groves,62.69,313.45
