Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name
451500,01500 KLEENEX C/F TOWEL 16/150/CS  S/O,N/A,O Non Stock Inactive,01500,N/A,54,5801 KIMBERLY-CLARK INC.,N/A,Suyeon Nam
451610,26610 SOFPULL TOWEL 400' 6/CSHARDWOUND WHITE CORE 1.75,N/A,O Non Stock Inactive,26610,N/A,2,3735 GEORGIA-PACIFIC CORPORATION,N/A,Suyeon Nam
454120,41200 WORKHORSE WIPER 12/76/CS 1/4F X70 SPEC ORDER,N/A,O Non Stock Inactive,41200,N/A,7,5801 KIMBERLY-CLARK INC.,N/A,Suyeon Nam
461213,121201 TORK CENTERPULL TWL 9X590' 6/CS ADVANCED,N/A,N Stock Active,121201,04/04/2024,23,10620 ESSITY PROFESSIONAL HYGIENE,N/A,Suyeon Nam
481725,220670 54X108 RED GINGHAM 25CS FORMAN#4833,N/A,N Stock Active,220670,04/24/2024,3,4150 HOFFMASTER GROUP INC,05/08/2024,Suyeon Nam
490003,5X4.5X15 CLEAR POLY BAGS 1M/ .7MIL,N/A,N Stock Active,7G054515,N/A,2,LK PACKAGING,N/A,Suyeon Nam
490015,8X4X18 2MIL Clear POLY BAG 1M/20G-084018,N/A,O Non Stock Inactive,20G-084018,04/25/2024,2,LK PACKAGING,05/06/2024,Suyeon Nam
490139,5.5X4.75X19 1MIL POLY GUSSET 1M/CS LD 10G-055419 S/O,N/A,O Non Stock Inactive,10G-055419,N/A,1,LK PACKAGING,N/A,Suyeon Nam
490166,5X4X24 1.25MIL POLY BAG CLEAR LOW DENSTIY  1M/CS 12G-054024,N/A,N Stock Active,12G-054024,N/A,3,LK PACKAGING,N/A,Suyeon Nam
491005,10-1/2X8+1-1/2 ZIPSEAL BAG 1M FD1058SP .0015  SPEC OR,N/A,O Non Stock Inactive,FD1058SP,N/A,2,LK PACKAGING,N/A,Suyeon Nam
491028,PORTION CONTROL BAG 7DAY 2M/CS 10X8-1/2+2LP+2FB SADDLE S/O,N/A,N Stock Active,PCAD1085,N/A,6,LK PACKAGING,07/25/2024,Suyeon Nam
