Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
99669,006427,159 BEVERAGE GLASS 12.5OZ 48CSHEAVY BASE -,N/A,O Non Stock Inactive,159,06/06/2024,1,SUPREME HOTEL & RESTAURANT SUPPLY,06/07/2024,Eleni Davis,86.15,86.15
88085,019562,3055 COCKTAIL GLASS 8.5OZ 12CS PERCEPTION,N/A,N Stock Active,3055,09/17/2024,5,SUPREME HOTEL & RESTAURANT SUPPLY,09/17/2024,Eleni Davis,36.36,181.80
88116,050199,DX33008714 LID F/ 9oz BOWL  1MTURNBURY REPLACES 050194,N/A,N Stock Active,DX33008714,09/17/2024,8,CFS BRANDS  LLC,08/09/2024,Eleni Davis,45.52,364.16
88123,050211,DX11820174 TULIP DOME LID 1M1182/0174 JUICE CUP&TUMB STOCK,N/A,N Stock Active,DX11820174,06/25/2024,23,CFS BRANDS  LLC,N/A,Eleni Davis,70.57,1623.11
88124,050215,11887 B42 8oz MUG LID PK 2M/CSSTOCK,N/A,N Stock Active,11887 B42,09/21/2024,35,217 ALADDIN TEMP-RITE LLC,09/18/2024,Eleni Davis,37.7,1319.50
88125,050216,11854 B71 8oz BOWL LID 1MSTOCK,N/A,N Stock Active,11854 B71,09/23/2024,130,217 ALADDIN TEMP-RITE LLC,09/11/2024,Eleni Davis,37.7,4901.00
88128,050230,CLJ6190 5OZ JUICE LID 1M/CSTRANSLUCENT - STOCK,N/A,N Stock Active,CLJ6190,09/17/2024,18,1610 CAMBRO MANUFACTURING COMPANY,09/17/2024,Eleni Davis,19.58,352.44
88129,050231,CLSM8B5190 MUG/BOWL LID 1500/8OZ MUG 5OZ BOWL LID STOCK,N/A,N Stock Active,CLSM8B5190,09/20/2024,24,1610 CAMBRO MANUFACTURING COMPANY,08/21/2024,Eleni Davis,31.18,748.32
88130,050232,CLSB9190 LID F/ 9oz BOWL 1M/CSSTOCK,N/A,N Stock Active,CLSB9190,09/19/2024,8,1610 CAMBRO MANUFACTURING COMPANY,09/05/2024,Eleni Davis,32.06,256.48
88133,050235,CLNT8190 DISPOSABLE LID 1M/CSFOR NT8 NEWPORT - STOCK,N/A,N Stock Active,CLNT8190,09/19/2024,31,1610 CAMBRO MANUFACTURING COMPANY,09/17/2024,Eleni Davis,29.23,906.13
88135,050239,CL950P DISP.LID 9.5OZ 1000/CSFITS 950P2 TUMBLER  STOCK,N/A,N Stock Active,CL950P-190,07/31/2024,1,1610 CAMBRO MANUFACTURING COMPANY,08/21/2024,Eleni Davis,29.05,29.05
88177,050652,DXTT1 SIDE DISH 1 COMPARTMENTTT1   4oz REPL 050404 2000/CS,N/A,O Non Stock Inactive,DXTT1,N/A,1,CFS BRANDS  LLC,N/A,Eleni Davis,76.58,76.58
102131,051348,ADB47W 8OZ BOWL DISPOSABLE 1000/CS TRANS COLD ONLY STOCK,N/A,N Stock Active,ADB47W,08/24/2024,3,217 ALADDIN TEMP-RITE LLC,09/11/2024,Eleni Davis,117.3,351.90
129564,080133,RE-118 BANQUET SPOON SLOTTED 11-1/4" REGENCY DOZEN,N/A,O Non Stock Inactive,RE-118,N/A,2,1880 Hospitality,N/A,Eleni Davis,42.81,85.62
88244,090224,40110 5HR PETITE LITES CANDLESTOCK CLEAR 48/CS,N/A,N Stock Active,40110,09/23/2024,46,1632 STERNO PRODUCTS LLC,08/09/2024,Eleni Davis,26.27,1208.42
97102,090713,40180 BIRTHDAY CANDLES 12PK/BX SPIRAL STRIPE - 12PKS PER BOX,N/A,N Stock Active,40180,09/16/2024,39,1632 STERNO PRODUCTS LLC,04/29/2024,Eleni Davis,71.64,2793.96
126698,091103,P3X9W-12 PILLAR CANDLE 3X9"H WHITE 12/CS - STOCK,N/A,O Non Stock Inactive,P3X9W-12,05/18/2024,9,4155 HOLLOWICK INC.,07/05/2024,Eleni Davis,66.19,595.71
108564,091104,P3X6W-12 PILLAR CANDLE 3X6"H WHITE DZ,N/A,O Non Stock Inactive,P3X6W-12,06/14/2024,2,4155 HOLLOWICK INC.,06/28/2024,Eleni Davis,37.51,75.02
108565,091106,P3X3W-12 PILLAR CANDLE 3X3 WHITE DZ - SPEC ORD,N/A,O Non Stock Inactive,P3X3W-12,04/24/2024,2,4155 HOLLOWICK INC.,03/11/2024,Eleni Davis,23.3,46.60
97103,091112,P3X3CP-12 PILLAR CANDLE 3X3CAPPUCCINO DZ - STOCK,N/A,N Stock Active,P3X3CP-12,09/23/2024,277,4155 HOLLOWICK INC.,09/18/2024,Eleni Davis,27.7,7672.90
100182,091133,DWP 3X3 PILLARS WHITE 12/CSDINE-AGLOW 3X3.5 -,N/A,O Non Stock Inactive,DWP 3X3,N/A,2,NP&PC-DINE-A-GLOW,N/A,Eleni Davis,29.25,58.50
126699,091137,3X6W  3X6 PILLARS WHITE 12/CS,N/A,O Non Stock Inactive,3X6W,N/A,5,PICO HOSPITALITY INC.,04/02/2024,Eleni Davis,40.72,203.60
128272,1104630,1074BL Fast Food Basket Oval Royal Blue 36/CS,N/A,N Stock Active,1074BL,09/03/2024,3,11545 TABLECRAFT PRODUCTS CO. INC.,09/17/2024,Eleni Davis,15.48,46.44
