CUSTOMER,ITEM,VENDOR,COMMODITY CODE,PRICE Level,UNIT PRICE
LEVDOK SERVICES LLC,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,390.65
WILLIAMSBURG-JAMES CITY COUNTY,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,356.64
NAPCO GROUP INC,400-0001 PIGTAIL CORD W/CONNECTORS,7345 MOSQUITO,SHOP,Custom,23.14
NAPCO GROUP INC,400-0004 ROCKER SWITCH,7345 MOSQUITO,SHOP,Custom,7.28
UNITED CONTRACTING SERVICES,COMPLETE PIG TAIL CORD 401-0001,7345 MOSQUITO,SHOP,Custom,16.17
UNITED CONTRACTING SERVICES,500-0003 1 STG VAC MTR,7345 MOSQUITO,SHOP,Custom,123.42
UNITED CONTRACTING SERVICES,400-0004 ROCKER SWITCH,7345 MOSQUITO,SHOP,Custom,7.13
UNITED CONTRACTING SERVICES,800-0005 SHOULDER & WAIST BELT 10-1016,7345 MOSQUITO,SHOP,Custom,48.87
UNITED CONTRACTING SERVICES,STANDARD LID & HOSE W/CUFF701-BP10LG,7345 MOSQUITO,SHOP,Custom,72.62
CJ MAINTENANCE,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,399.45
WOODMONT COUNTRY CLUB,10-1011 SUPER HEPA 10QT DEMO,7345 MOSQUITO,VACUUM BACKPACK,Custom,390.00
WOODMONT COUNTRY CLUB,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,390.00
CITY CLUB OF WASHINGTON INC,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,435.00
CONSTRUCTION CLEANING SERVICES,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,373.06
Accelerent Manufacturing LLC,06-1062  6qt Super Hepa Backpack Vacuum Standard Mosquito,7345 MOSQUITO,VACUUM BACKPACK,Custom,414.00
CITY WIDE FACILITY SOLUTIONS,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,437.01
THOMPSON HOSPITALITY,14" SCALLOP FLOOR TOOL 900-0005,7345 MOSQUITO,SHOP,Custom,.00
BALTIMORE JANITORIAL SUPPLY,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,384.40
THE HARBOUR SCHOOL,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,420.33
KBS FIRST ENERGY EBENSBURG TE,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,435.12
SODEXO ASBURY BETHANY VILLAGE,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,294.60
MERRITT ATHLETIC CLUBS CANTON : MERRITT ATHLETIC SOUTHSIDE,10-1011 SUPER HEPA 10QTMOSQ. STANDARD TOOLS BACKPACK,7345 MOSQUITO,VACUUM BACKPACK,Custom,395.00
