CUSTOMER,ITEM,VENDOR,COMMODITY CODE,PRICE Level,UNIT PRICE
AEROSOL & LIQUID PKG. INC.,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,27.50
RA WBG CATERING,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
RA WORLD BANK C BUILDING,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
SHALOM STRICTLY KOSHER,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,72.01
OCCASIONS CATERERS,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
MARTIN'S SUMMER LUNCH PROGRAM,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,28.12
SZCO SUPPLIES INC.,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,73.50
EASTERN SHORE COFFEE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,74.74
RIDGEWELL'S CATERERS,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,58.95
RIDGEWELL'S CATERERS,20"X1000' 80GA STRETCH FILMWITH HANDLES  4RL/CS,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,37.15
UNIVERSITY OF MARYLAND,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.40
RA US SENATE DIRKSEN CAFE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
RA SMITHSONIAN MUSEUM OF NATURAL HISTORY,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
LEVY ORIOLES ADMIN,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
LEVY ORIOLES ADMIN,20"X1000' 80GA STRETCH FILMWITH HANDLES  4RL/CS,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,59.20
DAWSON'S MARKET,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.48
GRAND FURNITURE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,67.47
SELECT EVENT GROUP INC,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,63.00
SELECT EVENT GROUP INC,20"X1000' 80GA STRETCH FILMWITH HANDLES  4RL/CS,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,55.60
CLASSIC CAKES (SALISBURY),18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,73.35
SOUPERGIRL,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,58.67
SOUPERGIRL,20"X1000' 80GA STRETCH FILMWITH HANDLES  4RL/CS,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,58.01
HUNGRY HARVEST LLC,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,31.75
CLASSIC CATERING PEOPLE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,72.55
CLASSIC CATERING PEOPLE,18"X1476' 47GA  4/CSSTEEL 70 HAND CAST FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,32.34
ACME WHS,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,.00
ACME WHS,15.5"X450M STRETCH FILM  4/CS ECO3,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,.00
KEANY PRODUCE CO,15.5"X450M STRETCH FILM  4/CS ECO3,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,21.50
LANSDOWNE RESORT & SPA,15.5"X450M STRETCH FILM  4/CS ECO3,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,30.75
MARTIN'S CROSS WINDS,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,28.12
MARTIN'S CROSS WINDS : MARTIN'S WEST,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,28.12
MARTIN'S CROSS WINDS : MARTIN'S VALLEY MANSION,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,28.12
K9 KRAVING,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.75
SODEXO USHR CATERING,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,51.31
MARYLAND OVERPAK CORP,18"X1476' 47GA  4/CSSTEEL 70 HAND CAST FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,46.14
KINGS DOMINION,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,51.84
DYNAMIC PACKAGING LLC,20"X5000 63GA STRETCH FILM50CS/SKD MACHINE FILM S/0,10895 SIGMA STRETCH FILM,PALLET WRAP MACH,Custom,2206.95
BENJAMIN STORE FIXTURES LLC,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,66.75
SMG   RICHMOND CENTER STAGE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,68.73
SMG ALTRIA THEATER,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,68.41
CORT ACCOUNTS PAYABLE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,68.73
TOLUCA,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.55
ARAMARK@GEORGETOWN UNIV,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,71.50
New York Common Pantry,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,.00
CASH SALES : RICHMOND CASH SALES,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,.00
CORCORAN CATERERS INC,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,58.86
Black Acres Roastery,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,64.20
KNOTT'S BERRY FARM,HBH181080 18"X1000' HAND FILM STRETCH FILM 4/CS S/O,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,34.56
WORLDS OF FUN,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,51.84
FOOD BANK OF DELAWARE INC,15.5"X450M STRETCH FILM  4/CS ECO3,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,24.75
DORNEY PARK & WILDWATER,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,51.84
LANCASTER FOODS LLC,15.5"X450M STRETCH FILM  4/CSECO2,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,23.00
LANCASTER FOODS LLC,15.5"X450M STRETCH FILM  4/CS ECO3,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,23.00
BEN'S BEAUTY SUPPLY,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,68.73
BEN'S BEAUTY SUPPLY,20"X5000' 80GA STRETCH FILM 40/PLT MACHINE FILM  S/O,10895 SIGMA STRETCH FILM,PALLET WRAP MACH,Custom,2356.18
PATUXENT INSTITUTION- ACCT PAY,18"X1476' 47GA  4/CSSTEEL 70 HAND CAST FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,41.50
PATUXENT INSTITUTION- ACCT PAY,15.5"X450M STRETCH FILM  4/CS ECO3,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,39.95
JESSUP CORRECTIONAL INSTITUTE,18"X1476' 47GA  4/CSSTEEL 70 HAND CAST FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,38.50
Levy Baltimore Ravens,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
