Contract ID,SAP Code,Sell Price
4490424,1000004,29.95
4490424,1000006,22.38
4490424,1000007,22.7
4490424,1000013,42.53
4490424,1000067,49.98
4490424,1000068,48.18
4490424,1000069,71.67
4490424,1000072,25.34
4490424,1000082,42.34
4490424,1000091,20.91
4490424,1000122,62.12
4490424,1000133,44.97
4490424,1000140,11.03
4490424,1000141,12.11
4490424,1000142,14.51
4490424,1000143,15.71
4490424,1000144,21.26
4490424,1000161,44.69
4490424,1000162,32.72
4490424,1000167,60.22
4490424,1000168,49.16
4490424,1000170,70.29
4490424,1000179,3.84
4490424,1000181,15.02
4490424,1000183,11.65
4490424,1000185,37.46
4490424,1000186,38.09
4490424,1000187,28.54
4490424,1000188,9.73
4490424,1000189,24.6
4490424,1000191,5.53
4490424,1000192,15.07
4490424,1000193,18.69
4490424,1000194,23.79
4490424,1000199,25.26
4490424,1000201,14.92
4490424,1000202,68.09
4490424,1000205,6.16
4490424,1000206,21.26
4490424,1000209,7.79
4490424,1000210,7.22
4490424,1000211,154.07
4490424,1000215,23.15
4490424,1000216,57.63
4490424,1000218,84.32
4490424,1000220,150.59
4490424,1000221,42.08
4490424,1000222,542.93
4490424,1000223,646.04
4490424,1000224,205.41
4490424,1000226,19.14
4490424,1000227,141.18
4490424,1000337,70.56
4490424,1000338,61.67
4490424,1000348,39.25
4490424,1000349,45.85
4490424,1000355,29.99
4490424,1000364,17.17
4490424,1000366,71.99
4490424,1000367,120.22
4490424,1000371,58.49
4490424,1000378,129.02
4490424,1000384,135.29
4490424,1000386,47.69
4490424,1000393,77.33
4490424,1000394,138.57
4490424,1000395,63.57
4490424,1000398,74.95
4490424,1000399,52.11
4490424,1000400,69.08
4490424,1000401,80.05
4490424,1000402,68.04
4490424,1000414,78.82
4490424,1000415,66.56
4490424,1000419,40.24
4490424,1000420,27.01
4490424,1000421,27.59
4490424,1000423,27.59
4490424,1000424,25.59
4490424,1000425,39.93
4490424,1000427,56.41
4490424,1000428,50.14
4490424,1000433,59.29
4490424,1000435,61.44
4490424,1000436,39.38
4490424,1000437,38.72
4490424,1000438,95.1
4490424,1000439,54.82
4490424,1000440,72.3
4490424,1000441,64.57
4490424,1000443,48.28
4490424,1000444,49.42
4490424,1000445,62.4
4490424,1000446,45.5
4490424,1000447,41.92
4490424,1000451,0.01
4490424,1000457,23.96
4490424,1000464,45.55
4490424,1000465,30.18
4490424,1000466,56.31
4490424,1000467,42.3
4490424,1000468,62.22
4490424,1000472,104.06
4490424,1000473,30.58
4490424,1000474,44.21
4490424,1000475,63.33
4490424,1000486,45.21
4490424,1000487,53.87
4490424,1000489,63.05
4490424,1000490,27.12
4490424,1000491,30.44
4490424,1000509,34.93
4490424,1000511,41.07
4490424,1000513,74.52
4490424,1000514,60.32
4490424,1000523,57.55
4490424,1000526,26.37
4490424,1000527,31.11
4490424,1000530,71.47
4490424,1000532,59.82
4490424,1000535,47.86
4490424,1000536,54.57
4490424,1000537,35.89
4490424,1000538,38.14
4490424,1000539,31.69
4490424,1000540,33.24
4490424,1000541,39.11
4490424,1000542,33.5
4490424,1000544,34.63
4490424,1000545,42.8
4490424,1000547,37.71
4490424,1000548,47.97
4490424,1000549,41.97
4490424,1000550,60.27
4490424,1000551,70.41
4490424,1000555,62.56
4490424,1000557,29.93
4490424,1000565,54.77
4490424,1000566,262.44
4490424,1000573,34.04
4490424,1000584,11.74
4490424,1000585,104.02
4490424,1000586,75.09
4490424,1000594,151.27
4490424,1000599,86.68
4490424,1000600,8.94
4490424,1000601,98.49
4490424,1000602,130.56
4490424,1000603,50.81
4490424,1000607,223.53
4490424,1000619,12.41
4490424,1000626,47.6
4490424,1000630,41.62
4490424,1000637,41.12
4490424,1000641,116.49
4490424,1000651,75.79
4490424,1000652,101.12
4490424,1000654,17.7
4490424,1000655,70.75
4490424,1000659,51.59
4490424,1000667,57.65
4490424,1000670,91.36
4490424,1000678,105.47
4490424,1000679,27.92
4490424,1000680,31.55
4490424,1000681,33.81
4490424,1000685,29.03
4490424,1000688,14.6
4490424,1000689,19.48
4490424,1000693,14.6
4490424,1000694,16.56
4490424,1000695,19.48
4490424,1000697,25.6
4490424,1000698,27.92
4490424,1000700,19.48
4490424,1000704,14.6
4490424,1000705,16.56
4490424,1000707,27.92
4490424,1000708,31.55
4490424,1000709,46.86
4490424,1000710,122.69
4490424,1000711,27.92
4490424,1000712,50.64
4490424,1000715,36.18
4490424,1000717,27.92
4490424,1000718,44.18
4490424,1000719,62.1
4490424,1000720,62.1
4490424,1000721,62.1
4490424,1000723,15.84
4490424,1000799,71.44
4490424,1000864,40.18
4490424,1000867,50.46
4490424,1000996,65.68
4490424,1001216,57.86
4490424,1001327,47.83
4490424,1001329,36.89
4490424,1001330,63.66
4490424,1001331,75.47
4490424,1001332,58.04
4490424,1001338,64.86
4490424,1001349,47.96
4490424,1001383,26.6
4490424,1001396,92.44
4490424,1001408,49.84
4490424,1001409,47
4490424,1001430,48.67
4490424,1001436,8.93
4490424,1001438,41.52
4490424,1001439,41.92
4490424,1001450,35.72
4490424,1001451,65.46
4490424,1001465,68.73
4490424,1001477,43.46
4490424,1001481,41.96
4490424,1001619,37.7
4490424,1001670,51.33
4490424,1001672,38.83
4490424,1001675,14.37
4490424,1001677,5.37
4490424,1001680,7.03
4490424,1001681,9.21
4490424,1001684,8.69
4490424,1001692,224.24
4490424,1001710,25.6
4490424,1001711,25.6
4490424,1001712,27.92
4490424,1001716,21.49
4490424,1001717,21.49
4490424,1001718,27.92
4490424,1001725,55.23
4490424,1001736,4.53
4490424,1001740,37.8
4490424,1001746,33.02
4490424,1001750,7.47
4490424,1001769,56.28
4490424,1001771,28.9
4490424,1001775,31.99
4490424,1001798,5.05
4490424,1001806,85.38
4490424,1001808,127.62
4490424,1001826,21.49
4490424,1001828,42.53
4490424,1001846,11.35
4490424,1001854,6.26
4490424,1001856,20.86
4490424,1001858,51.9
4490424,1001868,67.29
4490424,1001876,216.11
4490424,1001878,262.66
4490424,1001880,235.27
4490424,1001882,79.02
4490424,1001883,296.53
4490424,1001934,54.33
4490424,1001985,108.24
4490424,1002011,27.21
4490424,1002014,34.47
4490424,1002020,36.19
4490424,1002021,42.56
4490424,1002022,36.56
4490424,1002042,16.49
4490424,1002047,21.26
4490424,1002049,12.87
4490424,1002054,86.19
4490424,1002059,127.62
4490424,1002075,4.93
4490424,1002079,14.06
4490424,1002100,36.6
4490424,1002105,55.29
4490424,1002479,16.56
4490424,1002480,87.84
4490424,1002484,97.32
4490424,1002500,42.46
4490424,1002501,27.42
4490424,1002503,56.11
4490424,1002504,69.5
4490424,1002505,32.08
4490424,1002506,31.99
4490424,1002509,27.76
4490424,1002511,15.41
4490424,1003019,12.11
4490424,1003023,8.12
4490424,1003040,47.71
4490424,1003041,39.21
4490424,1003049,123.04
4490424,1003050,7.39
4490424,1003055,4.33
4490424,1003059,24.94
4490424,1003063,25.09
4490424,1003064,19.63
4490424,1003082,8.12
4490424,1003083,40.95
4490424,1003095,32.75
4490424,1003100,52.43
4490424,1003102,34.41
4490424,1003137,40.95
4490424,1003147,33
4490424,1003167,8.12
4490424,1003186,12.48
4490424,1003189,16.41
4490424,1003203,15.71
4490424,1003204,43.66
4490424,1003205,48.27
4490424,1003216,16.14
4490424,1003217,46.44
4490424,1003225,7.97
4490424,1003227,42.98
4490424,1003237,15.71
4490424,1003240,13.4
4490424,1003243,73.28
4490424,1003267,25.84
4490424,1003268,88.65
4490424,1003280,41.49
4490424,1003281,65.63
4490424,1003282,107.59
4490424,1003350,46.39
4490424,1003356,67.17
4490424,1003357,40.11
4490424,1003382,262.44
4490424,1003384,50.97
4490424,1003387,22.93
4490424,1003391,7.9
4490424,1003396,11.6
4490424,1003454,45.35
4490424,1003477,34.29
4490424,1003483,36.01
4490424,1003518,21.76
4490424,1003520,38.43
4490424,1003562,82.78
4490424,1003568,54.74
4490424,1003606,90.69
4490424,1003607,121.03
4490424,1003636,48.83
4490424,1005144,32.23
4490424,1005419,132.76
4490424,1006484,22.45
4490424,1006498,56.28
4490424,1007159,67.22
4490424,1007626,187.16
4490424,1007764,38.84
4490424,1008853,42.9
4490424,1008896,0.01
4490424,1008928,38.71
4490424,1009846,123.76
4490424,1009847,178.81
4490424,1009848,138.17
4490424,1009849,186.94
4490424,1015494,5.04
4490424,1015578,14.94
4490424,1015809,32.59
4490424,1016261,14.94
