CUSTOMER,ITEM,PRICE Level,COMMODITY,Current Sell,UNIT COST C/S,CURRENT GP%,LAST SALE DATE,LAST SELL C/S,LAST COST C/S,LAST GP%,LAST QUANTITY C/S,WH AVAIL C/S,COST TYPE
292142 Inverness Brewing,150316 EP-HC96NFA 9X6X3 CLAMSHELL HINGE COMPOSTABLE 250/CS,Custom,HINGE FIBER,42.24,31.68,25.00,N/A,N/A,N/A,N/A,N/A,26,Item Defined Cost
292142 Inverness Brewing,150355 EP-HC6NFA 6X6X3 CLAMSHELL HING RENEWABLE COMPOSTABLE,Custom,HINGE FIBER,50.83,38.12,25.00,N/A,N/A,N/A,N/A,N/A,97,Item Defined Cost
292142 Inverness Brewing,150357 EP-HC91NFA 9X9X3 HINGE CONT RENEWABLE COMPOSTABLE 200/CS,Custom,HINGE FIBER,47.23,35.42,25.01,N/A,N/A,N/A,N/A,N/A,103,Item Defined Cost
292142 Inverness Brewing,031190 CFCL-1232 COMPOSTABLE LID 500/CPLA  10/50,Custom,LID PLA FOODCONT,85.15,63.86,25.00,N/A,N/A,N/A,N/A,N/A,19,Item Defined Cost
292142 Inverness Brewing,031530 200APL 2OZ SOUFFLE LID 2500/CS2OZ AND 1.5OZ,Custom,LIDS SOUFFLE,21.97,16.48,24.99,N/A,N/A,N/A,N/A,N/A,867,Item Defined Cost
292142 Inverness Brewing,031531 345APL 3.25/4/5.5 SOUFFLE LID2500/CS    50/50,Custom,LIDS SOUFFLE,32.96,24.72,25.00,N/A,N/A,N/A,N/A,N/A,1266,Item Defined Cost
292142 Inverness Brewing,430964 168396 10X10 2PLY WHITE BEVNAP 8/300/CS,Custom,NAPKIN BEVERAGE,32.79,27.87,15.00,N/A,N/A,N/A,N/A,N/A,343,Item Defined Cost
292142 Inverness Brewing,430018 NP7380A 17X17 1/8F 3PLY NAPKIN6/290/CS  ADVANCED,Custom,NAPKINS DINNER,77.5,59.54,23.17,N/A,N/A,N/A,N/A,N/A,58,Contracted Cost
292142 Inverness Brewing,330305 Large Black Nitrile Gloves 1M/CS,Custom,NITRILE GLOVES,34.33,27.81,18.99,N/A,N/A,N/A,N/A,N/A,1859,Item Defined Cost
292142 Inverness Brewing,510695 CH9620 6X9 NYLON SCOURING 20CSGREEN CHESAPEAKE,Custom,PAD HAND MISC,6.0,4.20,30.00,N/A,N/A,N/A,N/A,N/A,304,Item Defined Cost
292142 Inverness Brewing,250083 CLUB FRILLS 4" R812B 10/1M/CS BAMBOO,Custom,PICKS,42.98,36.53,15.01,N/A,N/A,N/A,N/A,N/A,11,Item Defined Cost
292142 Inverness Brewing,150352 EP-P013NFA 9" MOLDED WHITE PLATE RENEWABLE COMPOSTABLE 500/CS,Custom,PLATE COMPOSTABL,44.75,33.56,25.01,N/A,N/A,N/A,N/A,N/A,444,Item Defined Cost
292142 Inverness Brewing,150298 EP-P016 6" MOLDED FIBER PLATE 1000/CS WHITE  PFAS FREE,Custom,PLATE COMPOSTABL,36.21,27.16,24.99,N/A,N/A,N/A,N/A,N/A,112,Item Defined Cost
292142 Inverness Brewing,510572 TERRY TOWEL WHITE 10# 537-10,Custom,RAGS,26.37,19.78,24.99,N/A,N/A,N/A,N/A,N/A,195,Item Defined Cost
292142 Inverness Brewing,013259 13.75X9.5X15.75 BROWN SHOPPER SUPER ROYAL 110GSM 200/CS,Custom,SHOPPERS BROWN,59.55,44.66,25.00,N/A,N/A,N/A,N/A,N/A,42,Item Defined Cost
